StartSample,EndSample
2144,3623
3929,5102
11936,13364
17342,18668
22042,23470
26530,27754
33517,35149
36016,37444
42144,44184
51222,53619
62603,64082
67652,68825
72854,74282
77750,78974
82654,83929
90712,92497
98923,100359
103011,104490
107652,108876
112242,113721
117138,118413
122654,124184
126377,127499
133007,134588
135710,136832
145816,147754
155149,157291
164541,165918
167703,169233
172803,174231
178413,180257
181175,182603
187499,189029
189590,190814
196934,198464
208060,209743
215608,216985
219688,221328
223419,224745
231018,232548
233211,234537
240308,241991
242399,243725
249845,251222
251681,252803
258872,260359
261787,262858
269182,270814
278719,280359
281277,282654
287754,289335
293313,294588
299739,300767
309539,310661
319637,321430
329182,330661
336832,338821
345459,348111
354690,357495
365867,367346
373415,376322
384286,385714
401481,402705
404184,405612
415965,417036
424490,426020
427601,428876
436730,438311
440767,442093
446326,447856
452191,453517
459127,460359
462501,463776
470304,471681
473007,474027
483113,484337
491018,492242
493007,494384
503725,505204
527142,528621
547346,548672
554384,555710
566938,568264
576730,578158
587652,589029
599637,601022
616118,617393
623470,624745
635710,637138
645561,647142
655353,656985
667397,668723
677750,679025
686734,688060
691528,692701
696679,697954
702246,703470
705867,707346
719688,720818
734435,735710
749029,750508
753619,754945
768366,769692
772956,774384
778107,779382
787040,788774
796271,798617
814231,815455
823215,824694
833925,835404
843419,844745
848723,849998
852905,854333
863062,864133
874027,875200
885000,886326
891222,892497
892752,893874
947601,948723
964847,967244
972701,974282
978107,980257
982909,984490
997036,999178
1008009,1009539
1018005,1020971
1028978,1030712
1039637,1041277
1051222,1052293
1059637,1060869
1071936,1073517
1084541,1086020
1094690,1096322
1104184,1105918
1114894,1116577
1143062,1144643
1152956,1154588
1164184,1165765
1176016,1177750
1179688,1180716
1183929,1185663
1192752,1194435
1201481,1203215
1211273,1212854
1219637,1221532
1229845,1231375
1247703,1249386
1259637,1260920
1268927,1270610
1278923,1280359
1289080,1291069
1298311,1300308
1313262,1314843
1321787,1323266
1342093,1343674
1354894,1356577
1365153,1366887
1376322,1378005
1385510,1387142
1394588,1396220
1403419,1405102
1413619,1415302
1424643,1426377
1437291,1438923
1450049,1451681
1458209,1459739
1468315,1469845
1478158,1480359
1487805,1489284
1497393,1500308
1510457,1511681
1528111,1529743
1532752,1534333
1537444,1539331
1548162,1549437
1567295,1568315
1576985,1578617
1589182,1590253
1605867,1607346
1614639,1615965
1627346,1628570
1631834,1633466
1660920,1662654
1667652,1668672
1673058,1674588
1676628,1677801
1682501,1684082
1685153,1686632
1692293,1693874
1699637,1700869
1701328,1702909
1711783,1713415
1721430,1722960
1730712,1732956
1738821,1740359
1741430,1742960
1749080,1751579
1756577,1757750
1760716,1762144
1768417,1770814
1778821,1780359
1787805,1790406
1798158,1800359
1809029,1810049
1817801,1819382
1826683,1828162
1835812,1838056
1858311,1859382
1867499,1869080
1879076,1881379
1888570,1889998
1890814,1892395
1899637,1902195
1909284,1910559
1910610,1912140
1921532,1923011
1926377,1927805
1932395,1933874
1939637,1941073
1943317,1944745
1957801,1959076
1974435,1977087
1994588,1996169
2003266,2004745
2005918,2007244
2013517,2015914
2022705,2024949
2031681,2033058
2039739,2041481
2042909,2044490
2052191,2053925
2063929,2065918
2074027,2076526
2083674,2085408
2093109,2094537
2102399,2104949
2114486,2116016
2130304,2131936
2138617,2140308
2142093,2143572
2147499,2148876
2156628,2158107
2164184,2166071
2173160,2174588
2174741,2176271
2182348,2183725
2183827,2184949
2198923,2200869
2208315,2210610
2221634,2222909
2232191,2233670
2239331,2240359
2243674,2245051
2248519,2249692
2252395,2253772
2260971,2262450
2272548,2274027
2285255,2286632
2291171,2292497
2297291,2298566
2315047,2316526
2324898,2326275
2338515,2339739
2346326,2347448
2348570,2349947
2357138,2358617
2359178,2360359
2367856,2369488
2377801,2379229
2385765,2387142
2389182,2390661
2399331,2400359
2407397,2408672
2410151,2411477
2420512,2421634
2425969,2427295
2435710,2437036
2448060,2449386
2457138,2458413
2462603,2463725
2466224,2467601
2479688,2480920
2483572,2484949
2488723,2489845
2497597,2499127
2505357,2507397
2515047,2516424
2523980,2525969
2534027,2536220
2545663,2546836
2555710,2557036
2563419,2565969
2573925,2576220
2582501,2583929
2596679,2598617
2606071,2608621
2618260,2619688
2627958,2629233
2633007,2634588
2637546,2638923
2645102,2646428
2648825,2650253
2663827,2665051
2671273,2672854
2680971,2682501
2689845,2691426
2722756,2724286
2734078,2735557
2745306,2746581
2756832,2758158
2799739,2800767
2807397,2809080
2816832,2818668
2828621,2830151
2842144,2843776
2851681,2852905
2854741,2856322
2865561,2867142
2875200,2876679
2887652,2889182
2898260,2900257
2908927,2910304
2915404,2916730
2919280,2920665
2934690,2935863
2940818,2942144
2946836,2948162
2956373,2957750
2970049,2971477
2979637,2980920
2990151,2992140
3003215,3004745
3013058,3014435
3027091,3028468
3034690,3036067
3037852,3039229
3048672,3050100
3059637,3061124
3071120,3072344
3078668,3080359
3086683,3088009
3089947,3091375
3098617,3100359
3109386,3110763
3124031,3125408
3134639,3136016
3145969,3147244
3148417,3149794
3155761,3157138
3164643,3166020
3174537,3175863
3185408,3186734
3196271,3197648
3208315,3209896
3226122,3227550
3239739,3241787
3252395,3253772
3262399,3263878
3274384,3275710
3284031,3285459
3293721,3295149
3316679,3317954
3328774,3330151
3336730,3338158
3344184,3345663
3353670,3355149
3362858,3364490
3377036,3378617
3384235,3385714
3390967,3392395
3398770,3400359
3406377,3407856
3409488,3410916
3415149,3416628
3424643,3426377
3439637,3440716
3456526,3458056
3466479,3467907
3475200,3476781
3488060,3489539
3496577,3498158
3507907,3509386
3509437,3510559
3530355,3533160
3541481,3542858
3542858,3544235
3551732,3553007
3553415,3554537
3563980,3565306
3565459,3566836
3579331,3580665
3586734,3588111
3591579,3592650
3594894,3596424
3604847,3606173
3613670,3615047
3622858,3624337
3628825,3629998
3632191,3633568
3640410,3641838
3658668,3660359
3667703,3669131
3674384,3675761
3681175,3682399
3699178,3700257
3707958,3710406
3716577,3717954
3725816,3727091
3733517,3735047
3741532,3742909
3746173,3747346
3751375,3752752
3760869,3762297
3770865,3773466
3779637,3781277
3788876,3790151
3796883,3798515
3806938,3808264
3810661,3811936
3814996,3816424
3824082,3826173
3835098,3836322
3842858,3844337
3859178,3860257
3860308,3861583
3866173,3867295
3872242,3873466
3879637,3881124
3894588,3896067
3905000,3906326
3919637,3920920
3930610,3932089
3944490,3945969
3956118,3957597
3967550,3969029
3970406,3972089
3991885,3993364
3994792,3995812
4027244,4029794
4039637,4041175
4044898,4046275
4057036,4058311
4068621,4069896
4080716,4081991
4105153,4106377
4123623,4125000
4134129,4135506
4143623,4145510
4155353,4156628
4166530,4167856
4176730,4178056
4186836,4188162
4198260,4199739
4210457,4211834
4220971,4222348
4229896,4231324
4242144,4243521
4257801,4259076
4271681,4273109
4289131,4290457
4301022,4302399
4311477,4312752
4325357,4326734
4342246,4343521
4376730,4378056
4387601,4388876
4389539,4390916
4399331,4400767
4404082,4405510
4423827,4425306
4434894,4436271
4446224,4447295
4456271,4457648
4459739,4460767
4466326,4467652
4470406,4471783
4479280,4480665
4486224,4487550
4493109,4494435
4503266,4504643
4512701,4514435
4526071,4527448
4532956,4534231
4544235,4545561
4546173,4547550
4554996,4556322
4576781,4578617
4586275,4587703
4588774,4590253
4608825,4610202
4617138,4618515
4629539,4630661
4640971,4642297
4649641,4651936
4659637,4660971
4667754,4669284
4679637,4680818
4682807,4684337
4692497,4693823
4702705,4704235
4704898,4706224
4715455,4716781
4736220,4737699
4745510,4746887
4753568,4756118
4764388,4765663
4773517,4775914
4793568,4794996
4812701,4814129
4818872,4820359
4825765,4827091
4831732,4833007
4848264,4849590
4851171,4852905
4861022,4862297
4862603,4863980
4878260,4879433
4884133,4885561
4892905,4894231
4898209,4899637
4905816,4907091
4915608,4917138
4930661,4932242
4947295,4948825
4966173,4967652
4985612,4986989
4999637,5000869
5019637,5020920
5034537,5036067
5052803,5054282
5067040,5068570
5083776,5085153
5099025,5100359
5112956,5114435
5130355,5131885
5147091,5148468
5153823,5155251
5161430,5162705
5172497,5173772
5185153,5186530
5186887,5188213
5200665,5201940
5203725,5205051
5217852,5219076
5230304,5231732
5242399,5243776
5253262,5254588
5264847,5266275
5287295,5288672
5301583,5302909
5311783,5313109
5323317,5324643
5336730,5338005
5352038,5353466
5363980,5365408
5395353,5396832
5405255,5406632
5411630,5413109
5425816,5427142
5436985,5438260
5446938,5448417
5460716,5462144
5491681,5492752
5499637,5500869
5509488,5510916
5519637,5521277
5532344,5533721
5541736,5543062
5564694,5565918
5580869,5582246
5593772,5595149
5605408,5606632
5624439,5625867
5634078,5635404
5666785,5668213
5685816,5687244
5701022,5702246
5710865,5712395
5727193,5728570
5741685,5743011
5758107,5759382
5771375,5772701
5780971,5782144
5794333,5795557
5822195,5823521
5874027,5875455
5894282,5896628
5910355,5911528
5930610,5932089
5943776,5945306
5965816,5967448
5982756,5984082
5991528,5992599
6000308,6001685
6011681,6012701
6016985,6018413
6032089,6033670
6048111,6049182
6063164,6064745
6079637,6081226
6094129,6095659
6102603,6103623
6119127,6120308
6128417,6129692
6139739,6141022
6157852,6158923
6162756,6164337
6186122,6187703
6203572,6204745
6234639,6236169
6239076,6240359
6259076,6260308
6267448,6268825
6295965,6297597
6303011,6304898
6313772,6315404
6341685,6343164
6355914,6357393
6385000,6386530
6400410,6401889
6416526,6418056
6439637,6441124
6457087,6458515
6479076,6480257
6494231,6495353
6504133,6505612
6519331,6521226
6534333,6535761
6536067,6537240
6552446,6553874
6574129,6575557
6599688,6601022
6601430,6602654
6624235,6625459
6642348,6643725
6651273,6652497
6682450,6683623
6684133,6685306
6750304,6751426
6766428,6767448
6767601,6768774
6796475,6797903
6804541,6805612
6806224,6807295
6830304,6831681
6838311,6840308
6868774,6869896
6877801,6878821
6966785,6967907
6979178,6980308
7003878,7005153
7019025,7020359
7030610,7032446
7047295,7048519
7074690,7076169
7098362,7099586
7106785,7108009
7119127,7121022
7142552,7143827
7154690,7155710
7175914,7177393
7205102,7206530
7226632,7228009
7241787,7242960
7250508,7251528
7252905,7253976
7283164,7284235
7306938,7308621
7314843,7315914
7339637,7340818
7351732,7352803
7356832,7357954
7391273,7392905
7420869,7422348
7458668,7460359
7471681,7472752
7474843,7477240
7480257,7481328
7484235,7486428
7519739,7521379
7567040,7569692
7581940,7583521
7584439,7586224
7603266,7604796
7627499,7629080
7634690,7636169
7642552,7643827
7646122,7647346
7658056,7659127
7661889,7663776
7669539,7670967
7688570,7690508
7705306,7706785
7751171,7752242
7763674,7764847
7788927,7790151
7790916,7792140
7806785,7808621
7836118,7837138
7871681,7872803
7893517,7894537
7906224,7909029
7917087,7918566
7943776,7945306
8025255,8026530
8030304,8031324
8034537,8035863
8041226,8042705
8061175,8062348
8122042,8123062
8141583,8142654
8153160,8154843
8176220,8177801
8191273,8192548
8205612,8207448
8217954,8219178
8219739,8221940
8255455,8256730
8314129,8315251
8324694,8326173
8384694,8386020
8406887,8408060
8419229,8421022
8440410,8441787
8523317,8524388
8534384,8535761
8539076,8540308
8542807,8544133
8585918,8587397
8592344,8594078
8599688,8601175
8608978,8609998
8615302,8617393
8623215,8624388
8625510,8627142
8656628,8658107
8716475,8717597
8772242,8773976
8818209,8819637
8839076,8840257
8870814,8871936
8900818,8901889
8914588,8915659
8919688,8920971
8933262,8934843
8959229,8960359
8961940,8963725
9001685,9003011
9004286,9005306
9010457,9011783
9018821,9020359
9024643,9025918
9047091,9048621
9063317,9065255
9086377,9087448
9098770,9100308
9135251,9137087
9142552,9143572
9149845,9151528
9151783,9152803
9172701,9174027
9181634,9182909
9191579,9193160
9222654,9224133
9234333,9235353
9275149,9276220
9277240,9278464
9289437,9290508
9294282,9295659
9304643,9305714
9321124,9322501
9332089,9333313
9340614,9342960
9346581,9347652
9355863,9357138
9362807,9363929
9387550,9388723
9399178,9400257
9419280,9420359
9431885,9433160
9446173,9447601
9459178,9460308
9476220,9477597
9491885,9492905
9504592,9506020
9520563,9521685
9524439,9525510
9533058,9534384
9538464,9539535
9555863,9557240
9563929,9565000
9569692,9570967
9618260,9619535
9631987,9633670
9643776,9645000
9666428,9668060
9683470,9684949
9700461,9701991
9702705,9703827
9719637,9721277
9752701,9754282
9766938,9767958
9809080,9810763
9811426,9812497
9819739,9820971
9823266,9825051
9876730,9878566
9899229,9900257
9938362,9940257
9959637,9960716
10017852,10018974
10019739,10020869
10039433,10041379
10054996,10057852
10069233,10070253
10070661,10071783
10083470,10085408
10099637,10101226
10108978,10110202
10111324,10112701
10141226,10142501
10196628,10198413
10236373,10238005
10250508,10251528
10259637,10260920
10262909,10264439
10266581,10268264
10305459,10306734
10318617,10320359
10397903,10399280
10410763,10411987
10466785,10469029
10512650,10514027
10527397,10528978
10593211,10594792
10611834,10613313
10613823,10614843
10618005,10619025
10627601,10628723
10634843,10636118
10657750,10659331
10665612,10666785
10679637,10680665
10686377,10687907
10706275,10708060
10709233,10710304
10768927,10770610
10770814,10772497
10783062,10784490
10807244,10810100
10821328,10822654
10839127,10840257
10849488,10851018
10858566,10859688
10867805,10869029
10889182,10890508
10898668,10900614
10938056,10940359
10960665,10961838
10996679,10997903
11007499,11008927
11031273,11032650
11038005,11039484
11091018,11092191
11099637,11100971
11199637,11201124
11211375,11212395
11224082,11225255
11225663,11227193
11233721,11234741
11240308,11241838
11264286,11265459
11304031,11305051
11324235,11325459
11380461,11381583
11387550,11388978
11421379,11422450
11453619,11455455
11459280,11460308
11462858,11464031
11485255,11486275
11508519,11509539
11526734,11528111
11551579,11553262
11569641,11571171
11593211,11594333
11636832,11638005
11639127,11640257
11646785,11647805
11694078,11696169
11729488,11730559
11763776,11764847
11788978,11790253
11858413,11859484
11874792,11875812
11880614,11881736
11936220,11937648
11948672,11949998
12003521,12004796
12059076,12060257
12077189,12078260
12121634,12123062
12129335,12130406
12183368,12184439
12195659,12196985
12213517,12215200
12261430,12262858
12322960,12324031
12399739,12401277
12460920,12462195
12468468,12469998
12489335,12490457
12504490,12506071
12539688,12540767
12609029,12610049
12625153,12626530
12652905,12653976
12675557,12676577
12678872,12680359
12731171,12732548
12738413,12739535
12750406,12752242
12759229,12760257
12771222,12772293
12779127,12780359
12888825,12889896
12897189,12898209
12902042,12903164
12934741,12935812
12985000,12986020
12988978,12990151
13116730,13118056
13131273,13132854
13224592,13226326
13240716,13241940
13251681,13253874
13261685,13262705
13270763,13271783
13271783,13272803
13324082,13325102
13325306,13326479
13344235,13345255
13362093,13364082
13364643,13366377
13404898,13405969
13415251,13416424
13419637,13420971
13459076,13460308
13475047,13476169
13498413,13499586
13502807,13504490
13549386,13551528
13573772,13575149
13585918,13587040
13615914,13617036
13652344,13653364
13734384,13735659
13737495,13738872
13781175,13782705
13798821,13800716
13824847,13826632
13847448,13848876
13849080,13850457
13863623,13865102
13916934,13918566
13937495,13938770
13939637,13941838
13959637,13960665
14011630,14013109
14047040,14048315
14058158,14059178
14078617,14079688
14099688,14100818
14116526,14117597
14132395,14133670
14158005,14159433
14163725,14164949
14195914,14197393
14278923,14280257
14292854,14293925
14299637,14300665
14318719,14321022
14323521,14324541
14432038,14433874
14457444,14460359
14471375,14473925
14479688,14480869
14494384,14495863
14499178,14500308
14502756,14503929
14519739,14520920
14531477,14532599
14568111,14569335
14610763,14612038
14614435,14615506
14620971,14622195
14689539,14690967
14708366,14709590
14724592,14725714
14767040,14768366
14796577,14797597
14810508,14812242
14825765,14826785
14837903,14839127
14839739,14840920
14854996,14856424
14862654,14863878
14879637,14881226
14881430,14882603
14908315,14909488
14936985,14938158
14975149,14976832
15052956,15054333
15135302,15136322
15166173,15168315
15183266,15184541
15224694,15225765
15237852,15239178
15264949,15266173
15294027,15295047
15309131,15310814
15352140,15353517
15368009,15369131
15393058,15394078
15398719,15399739
15455608,15456832
15484898,15485918
15491222,15492242
15609743,15610814
15632191,15633364
15675098,15676220
15678872,15680359
15698209,15699586
15699637,15702552
15751681,15753109
15763368,15764388
15776883,15778668
15778923,15780257
15819280,15820359
15864235,15865306
15883776,15885255
15915761,15916883
15925510,15926836
15930712,15932344
15945306,15947142
15974333,15975353
15989233,15990304
16008009,16009131
16010406,16011579
16051783,16052854
16066071,16067550
16112140,16113313
16119331,16120359
16134129,16135302
16147397,16148978
16158464,16160359
16195914,16197036
16212089,16213211
16245357,16246530
16253364,16254537
16279178,16280359
16327346,16328978
16364337,16365663
16387856,16389131
16408672,16409947
16448264,16449539
16461073,16462093
16475506,16476730
16485765,16487703
16517444,16518719
16561685,16562858
16618158,16619382
16619688,16620716
16636832,16638311
16641328,16642348
16700410,16701532
16701838,16703368
16714333,16715914
16750304,16751630
16753109,16754180
16762144,16763470
16774180,16775506
16816883,16818362
16822807,16823827
16838311,16839331
16927601,16929131
17066530,17069284
17117597,17118719
17119076,17120308
17131426,17132497
17139433,17140920
17170865,17172497
17183164,17184439
17195200,17197393
17245663,17247142
17256985,17258515
17275710,17277240
17309488,17311222
17352395,17353568
17383062,17384133
17410151,17411324
17444694,17446734
17452956,17454027
17459076,17460308
17499688,17500767
17551426,17552701
17554435,17555506
17598617,17600308
17617903,17618923
17619739,17621124
17673262,17674690
17687907,17688927
17739076,17740359
17748876,17749947
17794996,17796067
17799688,17801226
17852293,17853466
17884541,17885714
17925357,17926734
17976475,17977648
18001328,18002756
18039637,18040665
18091069,18092446
18146275,18147448
18159637,18161328
18174078,18175200
18188417,18189743
18219739,18220869
18259688,18261022
18299178,18300308
18310763,18312038
18342501,18343572
18371018,18372803
18391120,18392242
18439739,18441736
18467958,18469386
18481430,18482552
18515914,18517036
